City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
240,Georgetown,MY,5.4112,100.3354,87.75,80,20,4.61,few clouds,2022-04-27 16:54:07
241,Vologda,RU,59.2187,39.8886,32.38,75,100,11.34,overcast clouds,2022-04-27 16:57:57
242,Chapais,CA,49.7834,-74.8492,28.18,86,100,12.73,light snow,2022-04-27 16:57:57
243,Ampanihy,MG,-24.7,44.75,68.47,71,99,12.44,light rain,2022-04-27 16:57:57
244,Kaithal,IN,29.8,76.3833,91.76,11,0,7.34,clear sky,2022-04-27 16:57:58
245,Avarua,CK,-21.2078,-159.775,75.25,94,89,2.3,overcast clouds,2022-04-27 16:57:58
246,Cefa,RO,46.9167,21.7333,61.41,63,20,11.5,light intensity shower rain,2022-04-27 16:57:59
247,Maragogi,BR,-9.0122,-35.2225,82.08,78,36,10.02,scattered clouds,2022-04-27 16:57:59
248,Pasewalk,DE,53.5063,13.99,57.54,64,83,8.68,broken clouds,2022-04-27 16:57:59
249,Portland,US,45.5234,-122.6762,50.61,82,75,5.01,broken clouds,2022-04-27 16:55:30
250,Bjelovar,HR,45.8986,16.8489,50.47,81,99,4.65,overcast clouds,2022-04-27 16:58:00
251,Port Lincoln,AU,-34.7333,135.8667,68.23,59,100,13.8,light rain,2022-04-27 16:58:00
252,Moron,AR,-34.6534,-58.6198,68.0,31,0,5.08,clear sky,2022-04-27 16:53:08
253,Clyde River,CA,70.4692,-68.5914,-0.17,85,75,8.05,broken clouds,2022-04-27 16:58:01
254,Ust-Koksa,RU,50.2696,85.6108,37.04,82,70,1.57,broken clouds,2022-04-27 16:58:01
255,Praia Da Vitoria,PT,38.7333,-27.0667,70.05,83,75,22.12,broken clouds,2022-04-27 16:58:02
256,Nouadhibou,MR,20.931,-17.0347,75.18,50,0,19.57,clear sky,2022-04-27 16:58:02
257,Vila Franca Do Campo,PT,37.7167,-25.4333,64.81,88,80,16.06,broken clouds,2022-04-27 16:58:02
258,Port-Cartier,CA,50.0334,-66.8654,48.42,95,88,6.04,overcast clouds,2022-04-27 16:58:03
259,Cap Malheureux,MU,-19.9842,57.6142,75.47,80,45,8.63,scattered clouds,2022-04-27 16:58:03
260,Davila,PH,18.4726,120.5763,83.17,76,25,3.89,scattered clouds,2022-04-27 16:58:04
261,Paka,MY,4.6374,103.4368,80.53,94,2,0.0,clear sky,2022-04-27 16:58:04
262,Chicama,PE,-7.8447,-79.1469,64.94,69,90,7.81,overcast clouds,2022-04-27 16:58:05
263,Lixourion,GR,38.2019,20.4314,63.07,74,0,6.78,clear sky,2022-04-27 16:58:05
264,Nuuk,GL,64.1835,-51.7216,34.88,93,100,35.01,overcast clouds,2022-04-27 16:58:06
265,Johnstown,US,40.3267,-78.922,46.45,60,90,16.33,overcast clouds,2022-04-27 16:57:31
266,Yuancheng,CN,36.652,107.7896,45.27,60,100,8.88,overcast clouds,2022-04-27 16:58:06
267,Awjilah,LY,29.1081,21.2869,91.24,9,100,16.84,overcast clouds,2022-04-27 16:55:38
268,Dunedin,NZ,-45.8742,170.5036,52.81,72,3,5.99,clear sky,2022-04-27 16:58:07
269,Half Moon Bay,US,37.4636,-122.4286,60.04,69,20,11.5,haze,2022-04-27 16:58:07
270,Chuy,UY,-33.6971,-53.4616,63.79,91,100,4.07,moderate rain,2022-04-27 16:58:07
271,Rio Grande,BR,-32.035,-52.0986,77.25,79,75,11.77,light rain,2022-04-27 16:58:08
272,Sompeta,IN,18.9333,84.6,81.9,79,9,12.01,clear sky,2022-04-27 16:58:08
273,Chokurdakh,RU,70.6333,147.9167,12.13,96,100,7.78,light snow,2022-04-27 16:58:09
274,Rawson,AR,-43.3002,-65.1023,50.38,37,87,5.88,overcast clouds,2022-04-27 16:58:09
275,Tuatapere,NZ,-46.1333,167.6833,45.03,93,5,3.53,clear sky,2022-04-27 16:59:10
276,Meadow Lake,US,34.8014,-106.5436,73.83,39,64,17.76,broken clouds,2022-04-27 16:59:10
277,Nanortalik,GL,60.1432,-45.2371,41.41,74,100,11.56,overcast clouds,2022-04-27 16:59:10
278,Svetlogorsk,BY,52.6333,29.7333,46.9,68,80,5.77,broken clouds,2022-04-27 16:59:11
279,Kresttsy,RU,58.2452,32.5165,36.95,67,98,4.65,overcast clouds,2022-04-27 16:59:11
280,Mehamn,NO,71.0357,27.8492,26.51,71,100,25.1,light snow,2022-04-27 16:59:12
281,Waverley,ZA,-25.7023,28.2591,65.01,54,2,1.14,clear sky,2022-04-27 16:59:12
282,Vardo,NO,70.3705,31.1107,22.98,93,99,27.63,overcast clouds,2022-04-27 16:59:12
283,Souillac,MU,-20.5167,57.5167,75.58,88,40,6.91,light rain,2022-04-27 16:59:13
284,Kudahuvadhoo,MV,2.6708,72.8944,84.47,71,77,4.79,broken clouds,2022-04-27 16:59:13
285,Harper,LR,4.375,-7.7169,81.77,81,100,7.63,light rain,2022-04-27 16:59:14
286,Ferme-Neuve,CA,46.7001,-75.4493,37.38,50,98,11.83,overcast clouds,2022-04-27 16:59:14
287,Bahia Blanca,AR,-38.7196,-62.2724,64.53,26,0,11.95,clear sky,2022-04-27 16:59:15
288,Oytal,KZ,42.9057,73.2697,54.39,63,15,4.25,few clouds,2022-04-27 16:59:15
289,Roebourne,AU,-20.7833,117.1333,78.15,64,90,9.26,overcast clouds,2022-04-27 16:59:15
290,Gander,CA,48.9682,-54.5906,51.93,53,100,6.91,overcast clouds,2022-04-27 16:59:16
291,Ahipara,NZ,-35.1667,173.1667,61.39,65,71,4.79,broken clouds,2022-04-27 16:59:16
292,La Ronge,CA,55.1001,-105.2842,41.25,45,40,16.11,scattered clouds,2022-04-27 16:59:16
293,Boa Vista,BR,2.8197,-60.6733,76.98,83,100,6.91,overcast clouds,2022-04-27 16:59:17
294,Geraldton,AU,-28.7667,114.6,59.41,94,100,4.61,light rain,2022-04-27 16:59:17
295,Dover,US,39.1582,-75.5244,57.09,47,42,8.01,scattered clouds,2022-04-27 16:57:19
296,Verkhniy Tagil,RU,57.3733,59.9556,55.6,89,100,11.88,light rain,2022-04-27 16:59:18
297,Tukums,LV,56.9669,23.1553,40.35,46,54,5.75,broken clouds,2022-04-27 16:56:17
298,Muli,MV,2.9167,73.5667,84.43,72,97,5.59,overcast clouds,2022-04-27 16:59:18
299,Senador Guiomard,BR,-10.1522,-67.7392,87.55,64,98,4.16,moderate rain,2022-04-27 16:59:19
300,Iqaluit,CA,63.7506,-68.5145,11.93,78,75,24.0,broken clouds,2022-04-27 16:59:19
301,Barra Do Garcas,BR,-15.89,-52.2567,90.54,34,2,8.97,clear sky,2022-04-27 16:57:42
302,Buchanan,LR,5.8808,-10.0467,83.86,71,44,9.06,light rain,2022-04-27 16:59:20
303,Yuxia,CN,34.0615,108.6291,50.61,94,100,6.69,moderate rain,2022-04-27 16:59:20
304,Mutoko,ZW,-17.397,32.2268,62.91,69,98,2.73,overcast clouds,2022-04-27 16:59:21
305,Arman,RU,59.7,150.1667,21.69,69,100,15.23,overcast clouds,2022-04-27 16:59:21
306,Puri,IN,19.8,85.85,84.72,87,7,18.88,clear sky,2022-04-27 16:59:22
307,Port Hardy,CA,50.6996,-127.4199,42.8,87,75,4.61,broken clouds,2022-04-27 16:59:22
308,Praia,CV,14.9215,-23.5087,77.54,53,20,21.85,few clouds,2022-04-27 16:57:43
309,Sembakung,ID,3.8167,117.25,73.09,99,100,0.76,overcast clouds,2022-04-27 16:59:23
310,Doka,SD,13.5167,35.7667,96.8,7,94,11.16,overcast clouds,2022-04-27 16:59:23
311,Assiniboia,CA,49.6334,-105.9845,44.42,57,74,12.66,broken clouds,2022-04-27 16:59:24
312,Kamenka,RU,51.3223,42.7678,56.03,74,85,13.71,overcast clouds,2022-04-27 16:59:24
313,Tagab,AF,34.855,69.6492,74.98,33,68,3.53,broken clouds,2022-04-27 16:59:24
314,Petropavlovka,RU,50.6114,105.3196,39.96,52,87,5.39,overcast clouds,2022-04-27 16:59:25
315,Nelson Bay,AU,-32.7167,152.15,68.09,90,100,9.26,overcast clouds,2022-04-27 16:59:25
316,Araouane,ML,18.9048,-3.5265,92.88,8,0,10.47,clear sky,2022-04-27 16:59:26
317,Xiongzhou,CN,25.1167,114.3,75.11,90,69,2.55,broken clouds,2022-04-27 16:59:26
318,Weligama,LK,5.9667,80.4167,81.37,82,20,2.98,few clouds,2022-04-27 16:59:26
319,Udachnyy,RU,66.4167,112.4,10.49,94,100,2.86,overcast clouds,2022-04-27 16:59:27
320,Slave Lake,CA,55.2834,-114.769,33.78,100,100,4.61,overcast clouds,2022-04-27 16:59:27
321,Ketchikan,US,55.3422,-131.6461,44.89,79,98,3.8,light rain,2022-04-27 16:58:16
322,Itaquyry,PY,-24.9333,-55.2167,92.12,41,29,9.35,scattered clouds,2022-04-27 16:59:28
323,Porosozero,RU,62.7191,32.727,28.54,77,100,1.41,overcast clouds,2022-04-27 17:00:28
324,Loveland,US,40.3978,-105.075,71.83,20,100,4.0,overcast clouds,2022-04-27 16:59:44
325,San Quintin,MX,30.4833,-115.95,64.0,69,32,12.41,scattered clouds,2022-04-27 17:00:29
326,Port Hedland,AU,-20.3167,118.5667,77.05,78,40,6.91,scattered clouds,2022-04-27 17:00:29
327,Umm Lajj,SA,25.0213,37.2685,80.42,63,0,8.21,clear sky,2022-04-27 17:00:29
328,Kuroiso,JP,36.9667,140.05,52.93,62,100,1.77,overcast clouds,2022-04-27 17:00:30
329,Kazanskaya,RU,45.4106,40.4361,62.15,74,94,7.05,overcast clouds,2022-04-27 17:00:30
330,Koumac,NC,-20.5667,164.2833,72.34,80,99,6.35,overcast clouds,2022-04-27 17:00:31
331,Antibes,FR,43.5624,7.1278,69.13,68,20,4.61,few clouds,2022-04-27 17:00:15
332,Maniitsoq,GL,65.4167,-52.9,32.68,98,100,32.03,snow,2022-04-27 17:00:32
333,Erenhot,CN,43.6475,111.9767,41.61,36,60,7.56,broken clouds,2022-04-27 17:00:32
334,Hervey Bay,AU,-25.2986,152.8535,72.28,77,2,10.49,clear sky,2022-04-27 17:00:33
335,Santa Rosalia,MX,27.3167,-112.2833,79.81,25,0,4.27,clear sky,2022-04-27 17:00:33
336,Santiago Del Estero,AR,-27.7951,-64.2615,69.31,42,100,16.55,overcast clouds,2022-04-27 17:00:03
